
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
O12  1a    0.75000   0.52661  0.00000  1.00000  0.20896  
O16  1a    0.75000   0.47339  0.50000  1.00000  0.20896  
O9   1a    0.25000   0.02661  0.00000  1.00000  0.20896  
O13  1a    0.25000  -0.02661  0.50000  1.00000  0.20896  
O11  1a    0.25000   0.52661  0.00000  1.00000  0.20896  
O15  1a    0.25000   0.47339  0.50000  1.00000  0.20896  
O17  1a    0.00000   0.01385  0.06512  1.00000  0.10876  
O21  1a    0.00000  -0.01385  0.56512  1.00000  0.10876  
O19  1a    0.00000   0.51385  0.06512  1.00000  0.10876  
O23  1a    0.00000   0.48615  0.56512  1.00000  0.10876  
O18  1a    0.50000   0.01385  0.06512  1.00000  0.10876  
O22  1a    0.50000  -0.01385  0.56512  1.00000  0.10876  
O20  1a    0.50000   0.51385  0.06512  1.00000  0.10876  
O24  1a    0.50000   0.48615  0.56512  1.00000  0.10876  
O29  1a    0.00000   0.01385  0.93488  1.00000  0.10876  
O25  1a    0.00000  -0.01385  0.43488  1.00000  0.10876  
O31  1a    0.00000   0.51385  0.93488  1.00000  0.10876  
O27  1a    0.00000   0.48615  0.43488  1.00000  0.10876  
O30  1a    0.50000   0.01385  0.93488  1.00000  0.10876  
O26  1a    0.50000  -0.01385  0.43488  1.00000  0.10876  
O32  1a    0.50000   0.51385  0.93488  1.00000  0.10876  
O28  1a    0.50000   0.48615  0.43488  1.00000  0.10876  
O33  1a    0.00000   0.25466  0.13118  1.00000  0.03659  
O37  1a    0.00000   0.24534  0.63118  1.00000  0.03659  
O35  1a    0.00000   0.75466  0.13118  1.00000  0.03659  
O39  1a    0.00000   0.74534  0.63118  1.00000  0.03659  
O34  1a    0.50000   0.25466  0.13118  1.00000  0.03659  
O38  1a    0.50000   0.24534  0.63118  1.00000  0.03659  
O36  1a    0.50000   0.75466  0.13118  1.00000  0.03659  
O40  1a    0.50000   0.74534  0.63118  1.00000  0.03659  
O55  1a    0.00000   0.75466  0.86882  1.00000  0.03659  
O51  1a    0.00000   0.74534  0.36882  1.00000  0.03659  
O53  1a    0.00000   0.25466  0.86882  1.00000  0.03659  
O49  1a    0.00000   0.24534  0.36882  1.00000  0.03659  
O56  1a    0.50000   0.75466  0.86882  1.00000  0.03659  
O52  1a    0.50000   0.74534  0.36882  1.00000  0.03659  
O54  1a    0.50000   0.25466  0.86882  1.00000  0.03659  
O50  1a    0.50000   0.24534  0.36882  1.00000  0.03659  
O62  1a    0.75000   0.00655  0.86882  1.00000  0.05143  
O58  1a    0.75000  -0.00655  0.36882  1.00000  0.05143  
O64  1a    0.75000   0.50655  0.86882  1.00000  0.05143  
O60  1a    0.75000   0.49345  0.36882  1.00000  0.05143  
O61  1a    0.25000   0.00655  0.86882  1.00000  0.05143  
O57  1a    0.25000  -0.00655  0.36882  1.00000  0.05143  
O63  1a    0.25000   0.50655  0.86882  1.00000  0.05143  
O59  1a    0.25000   0.49345  0.36882  1.00000  0.05143  
O42  1a    0.75000   0.00655  0.13118  1.00000  0.05143  
O46  1a    0.75000  -0.00655  0.63118  1.00000  0.05143  
O44  1a    0.75000   0.50655  0.13118  1.00000  0.05143  
O48  1a    0.75000   0.49345  0.63118  1.00000  0.05143  
O41  1a    0.25000   0.00655  0.13118  1.00000  0.05143  
O45  1a    0.25000  -0.00655  0.63118  1.00000  0.05143  
O43  1a    0.25000   0.50655  0.13118  1.00000  0.05143  
O47  1a    0.25000   0.49345  0.63118  1.00000  0.05143  
O65  1a    0.00000   0.00334  0.20187  1.00000  0.02623  
O69  1a    0.00000  -0.00334  0.70187  1.00000  0.02623  
O67  1a    0.00000   0.50334  0.20187  1.00000  0.02623  
O71  1a    0.00000   0.49666  0.70187  1.00000  0.02623  
O66  1a    0.50000   0.00334  0.20187  1.00000  0.02623  
O70  1a    0.50000  -0.00334  0.70187  1.00000  0.02623  
O68  1a    0.50000   0.50334  0.20187  1.00000  0.02623  
O72  1a    0.50000   0.49666  0.70187  1.00000  0.02623  
O77  1a    0.00000   0.00334  0.79813  1.00000  0.02623  
O73  1a    0.00000  -0.00334  0.29813  1.00000  0.02623  
O79  1a    0.00000   0.50334  0.79813  1.00000  0.02623  
O75  1a    0.00000   0.49666  0.29813  1.00000  0.02623  
O78  1a    0.50000   0.00334  0.79813  1.00000  0.02623  
O74  1a    0.50000  -0.00334  0.29813  1.00000  0.02623  
O80  1a    0.50000   0.50334  0.79813  1.00000  0.02623  
O76  1a    0.50000   0.49666  0.29813  1.00000  0.02623  
 
